[01 12 01:33:10] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_33_9.png||spendTime=0.6116878986358643Second
[01 12 01:33:10] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/operationEnd.png
[01 12 01:33:10] [INFO]  __main__/30 || Can't find button:operationEnd
[01 12 01:33:15] [INFO]  __main__/25 || current Operate:operationEnd
[01 12 01:33:15] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_33_15.png||spendTime=0.484661340713501Second
[01 12 01:33:15] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/operationEnd.png
[01 12 01:33:15] [INFO]  __main__/30 || Can't find button:operationEnd
[01 12 01:33:20] [INFO]  __main__/25 || current Operate:operationEnd
[01 12 01:33:21] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_33_20.png||spendTime=0.43789005279541016Second
[01 12 01:33:21] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/operationEnd.png
[01 12 01:33:21] [INFO]  __main__/30 || Can't find button:operationEnd
[01 12 01:33:26] [INFO]  __main__/25 || current Operate:operationEnd
[01 12 01:33:26] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_33_26.png||spendTime=0.45686769485473633Second
[01 12 01:33:27] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/operationEnd.png
[01 12 01:33:27] [INFO]  __main__/30 || Can't find button:operationEnd
[01 12 01:33:32] [INFO]  __main__/25 || current Operate:operationEnd
[01 12 01:33:32] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_33_32.png||spendTime=0.43048882484436035Second
[01 12 01:33:32] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/operationEnd.png
[01 12 01:33:32] [INFO]  __main__/30 || Can't find button:operationEnd
[01 12 01:33:37] [INFO]  __main__/25 || current Operate:operationEnd
[01 12 01:33:38] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_33_37.png||spendTime=0.4006621837615967Second
[01 12 01:33:38] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/operationEnd.png
[01 12 01:33:38] [INFO]  __main__/30 || Can't find button:operationEnd
[01 12 01:33:43] [INFO]  __main__/25 || current Operate:operationEnd
[01 12 01:33:43] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_33_43.png||spendTime=0.42994213104248047Second
[01 12 01:33:43] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/operationEnd.png
[01 12 01:33:43] [INFO]  __main__/30 || Can't find button:operationEnd
[01 12 01:33:48] [INFO]  __main__/25 || current Operate:operationEnd
[01 12 01:33:49] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_33_48.png||spendTime=0.46128129959106445Second
[01 12 01:33:49] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/operationEnd.png
[01 12 01:33:49] [INFO]  __main__/30 || Can't find button:operationEnd
[01 12 01:33:54] [INFO]  __main__/25 || current Operate:operationEnd
[01 12 01:33:54] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_33_54.png||spendTime=0.42411303520202637Second
[01 12 01:33:54] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/operationEnd.png
[01 12 01:33:54] [INFO]  __main__/30 || Can't find button:operationEnd
[01 12 01:33:59] [INFO]  __main__/25 || current Operate:operationEnd
[01 12 01:34:00] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_33_59.png||spendTime=0.46175074577331543Second
[01 12 01:34:00] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/operationEnd.png
[01 12 01:34:00] [INFO]  __main__/30 || Can't find button:operationEnd
[01 12 01:34:05] [INFO]  __main__/25 || current Operate:operationEnd
[01 12 01:34:05] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_34_5.png||spendTime=0.3849935531616211Second
[01 12 01:34:05] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/operationEnd.png
[01 12 01:34:05] [INFO]  __main__/30 || Can't find button:operationEnd
[01 12 01:34:10] [INFO]  __main__/25 || current Operate:operationEnd
[01 12 01:34:11] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_34_10.png||spendTime=0.42020726203918457Second
